Original RSID,All Merged RSIDs,Merged Dates,Revisions,Locus,Name,Orientation,Sequence Ontology,hg38 Position,Clinical,Gene Length,
rs75937181,,,,CD86,CD86 molecule,plus,intron_variant,122064167,,2720,
rs6789653,60546671,2008-05-26T06:17Z,130,ZBTB38,zinc finger and BTB domain containing 38,plus,intron_variant,141432147,,1434,
rs1014486,56933105,2008-05-23T14:08Z,130,IL12A-AS1,IL12A antisense RNA 1,minus,intron_variant,159973323,,5871,
rs10936182,,,,IL12A,interleukin 12A,plus,intron_variant,159994585,,1444,
rs10936602,59915464,2008-05-25T19:39Z,130,LRRIQ4,leucine rich repeats and IQ motif containing 4,plus,intron_variant,169818848,,2033,
rs2590438,{10288437; 36147779; },{2004-09-24T18:51Z; 2006-10-16T00:56Z; },{123; 127; },LOC105374264,uncharacterized LOC105374264,minus,intron_variant,187848179,,,
rs13066789,,,,LPP,LIM domain containing preferred translocation partner in lipoma,plus,intron_variant,188269835,,5835,
rs13136820,57157996,2008-05-23T18:27Z,130,LINC02265,long intergenic non-protein coding RNA 2265,plus,,40305546,,961,
rs6837324,{17470689; 56511787; 57637008; 111166554; },{2004-10-8T00:10Z; 2008-05-24T07:27Z; 2009-02-26T19:17Z; 2014-08-21T16:14Z; },{123; 130; 130; 142; },TXK,TXK tyrosine kinase,minus,intron_variant,48125244,,2908,
rs2705616,,,,AFF1,AF4/FMR2 family member 1,plus,intron_variant,86941243,,1668,
rs6533052,17280820,2006-03-11T01:11Z,126,SLC9B1,solute carrier family 9 member B1,minus,intron_variant,102990623,,1735,
rs2726479,,,,TET2-AS1,TET2 antisense RNA 1,minus,non_coding_transcript_variant,105334431,,537,
rs9992763,,,,LEF1,lymphoid enhancer binding factor 1,minus,intron_variant,108137561,,3477,
rs17051321,58888423,2008-05-25T04:28Z,130,TNIP3,TNFAIP3 interacting protein 3,minus,intron_variant,121198293,,2397,
rs72989863,,,,MARCHF1,membrane associated ring-CH-type finger 1,minus,intron_variant,163572654,,5877,
rs34681760,62349027,2008-05-24T08:02Z,130,TENT4A,terminal nucleotidyltransferase 4A,plus,upstream_transcript_variant,6712720,,5030,
rs10063294,{17302991; 58061365; },{2004-10-8T04:35Z; 2008-05-24T10:02Z; },{123; 130; },IL7R,interleukin 7 receptor,plus,3_prime_UTR_variant,35877402,,562,
rs11749040,,,,,,,,40396322,,,
rs6880809,63492863,2013-01-15T13:57Z,137,,,,,40429147,,,
rs7731626,13184238,2004-09-24T18:57Z,123,ANKRD55,ankyrin repeat domain 55,minus,intron_variant,56148855,,2471,
rs32658,{17385532; 57380414; },{2004-10-8T08:32Z; 2008-05-23T22:26Z; },{123; 130; },TNFAIP8,TNF alpha induced protein 8,plus,intron_variant,119367966,,795,
rs244656,{3756580; 36203747; },{2002-10-9T00:03Z; 2006-10-25T12:30Z; },{108; 127; },TCF7,transcription factor 7,plus,upstream_transcript_variant,134114135,,3288,
rs2084007,{17644364; 59106226; 386556828; },{2004-10-8T09:25Z; 2008-05-25T08:05Z; 2014-08-21T16:14Z; },{123; 130; 142; },JADE2,jade family PHD finger 2,plus,intron_variant,134555591,,1552,
rs249677,{17705883; 56969227; },{2004-10-8T07:20Z; 2008-05-23T14:41Z; },{123; 130; },LOC107986455,uncharacterized LOC107986455,minus,intron_variant,142159773,,,
rs2546890,{17875296; 57637605; },{2006-03-11T08:55Z; 2008-05-24T03:59Z; },{126; 130; },LOC285626,uncharacterized LOC285626,plus,non_coding_transcript_variant,159332891,,,
rs67111717,67111718,2009-02-27T01:24Z,130,RGS14,regulator of G protein signaling 14,plus,intron_variant,177363160,,2323,
rs12211604,,,,,,,,7099795,,,
rs111635774,,,,LOC101928354,uncharacterized LOC101928354,minus,intron_variant,14690983,,,
rs719316,{17668244; 58536398; 59185763; },{2004-10-8T05:19Z; 2009-02-27T04:40Z; 2008-05-25T09:05Z; },{123; 130; 130; },ATXN1,ataxin 1,minus,intron_variant,16672528,,10602,
rs1076928,{4410716; 59413064; 386515042; },{2004-09-24T19:05Z; 2008-05-25T12:44Z; 2014-08-21T16:14Z; },{123; 130; 142; },ETV7,ETS variant transcription factor 7,minus,intron_variant,36380911,,1530,
rs72928038,,,,BACH2,BTB domain and CNC homolog 2,minus,intron_variant,90267048,,9215,
rs11542663,,,,ASF1A,anti-silencing function 1A histone chaperone,plus,5_prime_UTR_variant,118894237,,2434,
rs802730,,,,,,,,127958958,,,
rs75191738,,,,L3MBTL3,L3MBTL histone methyl-lysine binding protein 3,plus,intron_variant,130027111,,537,
rs2327586,,,,,,,,135174087,,,
rs4896153,{7382734; 35201436; 56708448; 113882633; },{2006-10-13T14:56Z; 2006-10-13T14:56Z; 2008-05-23T10:08Z; 2014-08-21T16:14Z; },{127; 127; 130; 142; },AHI1-DT,AHI1 divergent transcript,plus,intron_variant,135512324,,2565,
rs62420820,,,,,,,,137116919,,,
rs631204,{17262596; 56749576; 74299360; },{2004-10-8T06:02Z; 2008-05-23T10:24Z; 2009-12-2T15:53Z; },{123; 130; 131; },,,,,137638317,,,
rs17780048,,,,WAKMAR2,wound and keratinocyte migration associated lncRNA 2,minus,intron_variant,137858008,,1025,
rs6911131,57332927,2008-05-23T21:22Z,130,PHACTR2,phosphatase and actin regulator 2,plus,genic_upstream_transcript_variant,143544083,,2490,
rs1738074,58521505,2008-05-24T20:30Z,130,TAGAP,T cell activation RhoGTPase activating protein,minus,genic_upstream_transcript_variant,159044944,,3720,
rs55858457,,,,CHST12,carbohydrate sulfotransferase 12,plus,intron_variant,2403666,,15979,
rs10951042,58524041,2008-05-24T20:35Z,130,LOC105375130,uncharacterized LOC105375130,minus,intron_variant,3099782,,,
rs10951154,{17500501; 17846000; 17858984; },{2006-03-11T07:22Z; 2006-03-11T07:22Z; 2006-03-11T07:22Z; },{126; 126; 126; },HOXA1,homeobox A1,minus,coding_sequence_variant,27095694,,2543,
rs10245867,{17703765; 58604915; 60930062; },{2004-10-8T04:46Z; 2008-05-24T22:07Z; 2009-02-27T00:39Z; },{123; 130; 130; },JAZF1,JAZF zinc finger 1,minus,intron_variant,28102566,,2919,
rs60600003,,,,ELMO1,engulfment and cell motility 1,minus,genic_upstream_transcript_variant,37342860,,2524,
rs10230723,,,,,,,,50200283,,,
rs116877451,,,,,,,,50288742,,,
rs73414214,,,,,,,,106066015,,,
rs4728142,61010776,2008-05-26T15:01Z,130,,,,,128933912,,,
rs10271373,,,,ZC3HAV1,zinc finger CCCH-type containing. antiviral 1,minus,3_prime_UTR_variant,139045048,,7177,
rs354033,{58893249; 386583590; },{2008-05-25T04:29Z; 2014-08-21T16:14Z; },{130; 142; },ZNF767P,zinc finger family member 767. pseudogene,minus,intron_variant,149592372,,565,
rs28703878,56879586,2008-05-23T12:40Z,130,LOC105375911,uncharacterized LOC105375911,minus,intron_variant,78504986,,,
rs78727559,,,,INTS8,integrator complex subunit 8,plus,intron_variant,94839589,,735,
rs735542,61362279,2008-05-27T00:29Z,130,,,,,127163450,,,
rs6990534,{36178194; 59362187; },{2006-10-14T04:08Z; 2008-05-25T11:43Z; },{127; 130; },PVT1,Pvt1 oncogene,plus,intron_variant,127801844,,1490,
rs7819665,,,,LOC124902020,uncharacterized LOC124902020,plus,intron_variant,128165522,,,
rs3923387,,,,,,,,143912624,,,
rs7855251,,,,TRIM14,tripartite motif containing 14,minus,intron_variant,98105906,,1792,
rs12722559,,,,IL2RA,interleukin 2 receptor subunit alpha,minus,intron_variant,6028309,,3218,
rs11256593,,,,,,,,6075358,,,
rs1399180,{3802605; 59345402; },{2002-10-9T08:37Z; 2008-05-25T11:26Z; },{108; 130; },GATA3,GATA binding protein 3,plus,intron_variant,8056755,,748,
rs1087056,{1313037; 17571625; },{2002-07-3T13:12Z; 2006-10-16T05:01Z; },{106; 127; },LOC105376481,uncharacterized LOC105376481,plus,intron_variant,31106831,,,
rs61863928,,,,,,,,62689788,,,
rs17741873,59531675,2008-05-25T14:18Z,130,,,,,73894041,,,
rs1250551,386524629,2014-08-21T16:14Z,142,ZMIZ1,zinc finger MIZ-type containing 1,plus,intron_variant,79299577,,7615,
rs1112718,,,,,,,,92719349,,,
rs35218683,,,,IFITM3,interferon induced transmembrane protein 3,minus,upstream_transcript_variant,321137,,345,
rs61884005,,,,,,,,14381383,,,
rs570429157,,,,PDE3B,phosphodiesterase 3B,plus,intron_variant,14846769,,5995,
rs1365120,{33962243; 58951921; },{2006-05-23T12:29Z; 2008-05-25T05:29Z; },{127; 130; },PRR5L,proline rich 5 like,plus,intron_variant,36416524,,436,
rs2269434,,,,MYBPC3,myosin binding protein C3,minus,intron_variant,47338860,,4217,
rs4939490,61639527,2008-05-27T06:49Z,130,,,,,61026178,,,
rs11231749,,,,LOC102723878,uncharacterized LOC102723878,minus,intron_variant,64327705,,,
rs531612,,,,LOC105369350,uncharacterized LOC105369350,minus,non_coding_transcript_variant,65937960,,,
rs4409785,61494875,2008-05-27T03:49Z,130,,,,,95578257,,,
rs56095240,,,,,,,,95688665,,,
rs34026809,,,,PHLDB1,pleckstrin homology like domain family B member 1,plus,intron_variant,118609979,,5753,
rs12365699,57868864,2008-05-24T07:13Z,130,,,,,118872576,,,
rs6589706,{17257200; 61564269; },{2004-10-8T07:59Z; 2008-05-27T05:12Z; },{123; 130; },,,,,118877103,,,
rs149114341,,,,BCL9L,BCL9 like,minus,intron_variant,118912714,,10005,
rs6589939,,,,,,,,122647816,,,
rs2364485,,,,,,,,6405796,,,
rs7977720,60779858,2008-05-26T09:46Z,130,CLECL1,C-type lectin like 1,minus,non_coding_transcript_variant,9713752,,,
rs701006,{1689590; 58254292; },{2006-03-11T10:25Z; 2008-05-24T13:28Z; },{126; 130; },OS9,OS9 endoplasmic reticulum lectin,plus,intron_variant,57713052,,4594,
rs61708525,,,,PLXNC1,plexin C1,plus,intron_variant,94267676,,7492,
rs3184504,{17519753; 52803061; 60790578; },{2004-10-8T06:13Z; 2007-09-21T16:11Z; 2008-05-26T09:57Z; },{123; 128; 130; },SH2B3,SH2B adaptor protein 3,plus,coding_sequence_variant,111446803,,5431,
rs7975763,58086259,2008-05-24T10:16Z,130,PITPNM2,phosphatidylinositol transfer protein membrane associated 2,minus,intron_variant,123119505,,6785,
rs9591325,,,,DLEU1,deleted in lymphocytic leukemia 1,plus,genic_downstream_transcript_variant,50237083,,2888,
rs9568402,,,,DLEU1,deleted in lymphocytic leukemia 1,plus,genic_downstream_transcript_variant,50387820,,2888,
rs77654077,,,,UBAC2,UBA domain containing 2,plus,intron_variant,99374697,,748,
rs11852059,61253047,2008-05-26T21:09Z,130,GNG2,G protein subunit gamma 2,plus,genic_upstream_transcript_variant,51839372,,577,
rs12434551,{58751284; 60986674; },{2009-02-27T14:05Z; 2008-05-26T14:01Z; },{130; 130; },,,,,68786646,,,
rs34695601,61978958,2008-05-23T10:44Z,130,,,,,75547954,,,
rs116899835,,,,HISLA,long intergenic non-protein coding RNA 1146,plus,intron_variant,88057143,,1093,
rs12588969,{52809891; 60078215; },{2007-09-21T16:02Z; 2008-05-25T21:49Z; },{128; 130; },,,,,102764420,,,
rs12147246,,,,TRAF3,TNF receptor associated factor 3,plus,intron_variant,102799506,,7806,
rs62013236,,,,,,,,78955139,,,
rs6496663,,,,,,,,90344351,,,
rs405343,{2549196; 8061288; 58720519; 74248357; },{2006-03-11T05:18Z; 2006-03-11T05:18Z; 2008-05-25T01:17Z; 2009-12-2T15:53Z; },{126; 126; 130; 131; },,,,,1017831,,,
rs2286974,17804543,2004-10-8T07:29Z,123,CLEC16A,C-type lectin domain containing 16A,plus,intron_variant,11020654,,6827,
rs6498163,59259419,2008-05-25T10:12Z,130,CLEC16A,C-type lectin domain containing 16A,plus,intron_variant,11120093,,6827,
rs146566517,,,,LOC105371082,uncharacterized LOC105371082,plus,genic_upstream_transcript_variant,11260021,,,
rs34947566,,,,LOC105371082,uncharacterized LOC105371082,plus,genic_upstream_transcript_variant,11319068,,,
rs3809627,,,,TBX6,T-box transcription factor 6,minus,intron_variant,30091838,,1843,
rs8062446,,,,NLRC5,NLR family CARD domain containing 5,plus,intron_variant,57043181,,4777,
rs12925972,{17727204; 61229912; },{2004-10-8T07:58Z; 2008-05-26T20:39Z; },{123; 130; },WWOX,WW domain containing oxidoreductase,plus,intron_variant,79077399,,2331,
rs17724508,56929185,2009-02-27T01:13Z,130,MAF,MAF bZIP transcription factor,minus,genic_downstream_transcript_variant,79316306,,1217,
rs6564681,,,,,,,,79618822,,,
rs35703946,,,,,,,,85987898,,,
rs4796224,{56430907; 57616824; },{2008-05-24T03:41Z; 2008-05-24T03:41Z; },{130; 130; },ZNHIT3,zinc finger HIT-type containing 3,plus,upstream_transcript_variant,36486676,,926,
rs9909593,,,,IKZF3,IKAROS family zinc finger 3,minus,intron_variant,39813895,,9788,
rs883871,16965601,2004-10-8T09:06Z,123,NR1D1,nuclear receptor subfamily 1 group D member 1,minus,intron_variant,40096406,,2630,
rs1026916,{56999159; 59933715; },{2009-02-27T09:07Z; 2008-05-25T19:55Z; },{130; 130; },STAT3,signal transducer and activator of transcription 3,minus,intron_variant,42377816,,4921,
rs7222450,{60453420; 114958898; 117328947; },{2008-05-26T04:36Z; 2012-05-4T12:46Z; 2010-08-16T13:01Z; },{130; 137; 132; },,,,,45330303,,,
rs11079784,{60904628; 111182968; },{2008-05-26T11:53Z; 2014-08-21T16:14Z; },{130; 142; },KPNB1-DT,KPNB1 divergent transcript,minus,intron_variant,47624913,,437,
rs2150879,74256797,2009-12-2T15:53Z,131,VMP1,vacuole membrane protein 1,plus,intron_variant,59781848,,231,
rs9900529,61302552,2008-05-26T22:18Z,130,GRB2,growth factor receptor bound protein 2,minus,intron_variant,75339694,,359,
rs4940730,{7407883; 59496369; },{2006-03-11T05:12Z; 2008-05-25T13:57Z; },{126; 130; },ALPK2,alpha kinase 2,minus,intron_variant,58602504,,7437,
rs9955954,,,,MALT1,MALT1 paracaspase,plus,intron_variant,58680811,,9289,
rs2469434,{9950290; 36156667; 61687105; },{2006-03-11T09:46Z; 2006-10-16T14:39Z; 2008-05-27T07:36Z; },{126; 127; 130; },CD226,CD226 molecule,minus,intron_variant,69876809,,474,
rs12971909,,,,,,,,4466468,,,
rs1077667,{4380149; 17704116; 61059265; 386515118; },{2004-09-24T19:27Z; 2004-10-8T08:55Z; 2008-05-26T16:37Z; 2014-08-21T16:14Z; },{123; 123; 130; 142; },TNFSF14,TNF superfamily member 14,minus,intron_variant,6668960,,4336,
rs28834106,61447979,2008-05-27T03:06Z,130,,,,,10481467,,,
rs12609500,,,,,,,,11063251,,,
rs58166386,,,,EPS15L1,epidermal growth factor receptor pathway substrate 15 like 1,minus,intron_variant,16448609,,681,
rs4808760,,,,,,,,18191168,,,
rs7260482,57627947,2008-05-24T03:45Z,130,,,,,44640641,,,
rs11083862,{58970544; 75483614; 77510870; },{2008-05-25T05:40Z; 2014-08-21T16:14Z; 2014-08-21T16:14Z; },{130; 142; 142; },SAE1,SUMO1 activating enzyme subunit 1,plus,intron_variant,47135281,,723,
rs6072343,58519753,2008-05-24T20:33Z,130,LPIN3,lipin 3,plus,upstream_transcript_variant,41339547,,4462,
rs4812772,57612565,2008-05-24T03:30Z,130,TOX2,TOX high mobility group box family member 2,plus,intron_variant,43950410,,2491,
rs6032662,{6514073; 57627986; },{2003-08-26T18:02Z; 2008-05-24T03:46Z; },{117; 130; },,,,,46105670,,,
rs6020055,,,,,,,,49805557,,,
rs2585447,17217329,2004-10-8T02:16Z,123,,,,,54127897,,,
rs2248137,59393088,2008-05-25T12:22Z,130,CYP24A1,cytochrome P450 family 24 subfamily A member 1,minus,intron_variant,54173203,,3278,
rs6742,{3198937; 57889766; },{2002-07-3T13:34Z; 2008-05-24T07:34Z; },{106; 130; },SLC2A4RG,SLC2A4 regulator,plus,3_prime_UTR_variant,63743087,,2361,
rs9808753,{2070385; 2230058; 4134667; 4986957; 11546396; 17879493; 52804646; 61332453; },{2014-08-25T17:33Z; 2002-01-4T16:24Z; 2002-11-14T08:26Z; 2003-04-7T10:24Z; 2012-05-11T08:30Z; 2006-03-11T03:47Z; 2007-09-21T15:50Z; 2008-05-26T23:36Z; },{136; 102; 109; 113; 137; 126; 128; 130; },IFNGR2,interferon gamma receptor 2,plus,coding_sequence_variant,33415004,,1699,
rs2836438,{17193983; 57727759; 74276532; },{2004-10-8T01:44Z; 2008-05-24T05:05Z; 2009-12-2T15:53Z; },{123; 130; 131; },ERG,ETS transcription factor ERG,minus,intron_variant,38492802,,4806,
rs9610458,60260925,2008-05-26T00:40Z,130,MAPK1,mitogen-activated protein kinase 1,minus,intron_variant,21851063,,5881,
rs4820955,9621222,2008-05-25T05:57Z,130,LIMK2,LIM domain kinase 2,plus,genic_upstream_transcript_variant,31226552,,1042,
rs760517,34780363,2006-05-23T12:24Z,127,NCF4,neutrophil cytosolic factor 4,plus,intron_variant,36862943,,906,
rs5756405,17749196,2004-10-8T00:23Z,123,CSF2RB,colony stimulating factor 2 receptor subunit beta,plus,intron_variant,36914911,,4853,
rs137955,{17319960; 57717352; 59989293; },{2004-10-8T00:28Z; 2008-05-24T04:57Z; 2009-02-26T18:34Z; },{123; 130; 130; },GRAP2,GRB2 related adaptor protein 2,plus,genic_upstream_transcript_variant,39895802,,3891,
rs140522,{58393571; 386530758; },{2008-05-24T18:20Z; 2014-08-21T16:14Z; },{130; 142; },ODF3B,outer dense fiber of sperm tails 3B,minus,upstream_transcript_variant,50532836,,,
