Original RSID,All Merged RSIDs,Merged Dates,Revisions,Locus,Name,Orientation,Sequence Ontology,hg38 Position,Clinical,Gene Length,GRCh38,GRCh37,
rs12044852,{60002408; 60224328; 386522642; },{2009-02-27T10:33Z; 2008-05-26T00:10Z; 2014-08-21T16:14Z; },{130; 130; 142; },CD58,CD58 molecule,minus,intron_variant,116545156,,1086,1:116545157-116545157,1:117087779-117087779,
rs1011731,{56574651; 59121365; 386509987; },{2008-05-25T08:12Z; 2008-05-25T08:12Z; 2014-08-21T16:14Z; },{130; 130; 142; },DNM3,dynamin 3,plus,intron_variant,172377407,,2030,1:172377408-172377408,1:172346548-172346548,
rs2760524,{59144380; 59934584; },{2009-02-27T08:59Z; 2008-05-25T19:51Z; },{130; 130; },LOC105371664,uncharacterized LOC105371664,minus,intron_variant,192561417,,,1:192561418-192561418,1:192530548-192530548,
rs2936040,{56421264; 58317799; },{2008-05-26T05:37Z; 2009-02-27T11:51Z; },{130; 130; },TAF1A,TATA-box binding protein associated factor. RNA polymerase I subunit A,minus,upstream_transcript_variant,222590318,,1648,1:222590319-222590319,1:222763661-222763661,
rs7577363,61264416,2009-02-26T18:00Z,130,ALK,ALK receptor tyrosine kinase,minus,genic_upstream_transcript_variant,29653476,,2513,2:29653477-29653477,2:29876343-29876343,
rs10205487,{17573246; 58184445; 60488245; },{2004-10-8T04:00Z; 2008-05-24T11:51Z; 2009-02-26T21:42Z; },{123; 130; 130; },MXD1,MAX dimerization protein 1,plus,intron_variant,69924338,,860,2:69924339-69924339,2:70151471-70151471,
rs1529409,{57639913; 118203060; },{2008-05-24T03:47Z; 2013-04-26T00:07Z; },{130; 138; },DYSF,dysferlin,plus,intron_variant,71603558,,6952,2:71603559-71603559,2:71830689-71830689,
rs2861913,{17339744; 58460979; },{2004-10-8T04:16Z; 2009-02-27T12:01Z; },{123; 130; },CTNNA2,catenin alpha 2,plus,intron_variant,79965308,,4349,2:79965309-79965309,2:80192435-80192435,
rs6744496,{17287806; 56579485; 56814101; },{2004-10-8T03:09Z; 2008-05-23T11:29Z; 2008-05-23T11:29Z; },{123; 130; 130; },,,,,128731981,,,2:128731982-128731982,2:129489556-129489556,
rs2365045,60943418,2008-05-26T12:57Z,130,FHIT,fragile histidine triad diadenosine triphosphatase,minus,intron_variant,61035566,,3116,3:61035567-61035567,3:61021239-61021239,
rs12487066,57841185,2009-02-27T08:11Z,130,LOC105374027,uncharacterized LOC105374027,plus,intron_variant,106193282,,,3:106193283-106193283,3:105912130-105912130,
rs1390088,59632068,2008-05-25T15:35Z,130,,,,,84328333,,,4:84328334-84328334,4:85249487-85249487,
rs2868879,58422762,2009-02-27T08:56Z,130,,,,,84351948,,,4:84351949-84351949,4:85273102-85273102,
rs867883,56930824,2009-02-27T11:53Z,130,,,,,121126423,,,4:121126424-121126424,4:122047579-122047579,
rs10518383,58751940,2009-02-27T11:46Z,130,TNIP3,TNFAIP3 interacting protein 3,minus,intron_variant,121138264,,2397,4:121138265-121138265,4:122059420-122059420,
rs4600896,{17193422; 58188913; },{2004-10-8T03:32Z; 2009-02-27T14:32Z; },{123; 130; },,,,,173881766,,,4:173881767-173881767,4:174802918-174802918,
rs2962694,{17225735; 57749983; 59007401; },{2004-10-8T04:59Z; 2008-05-24T05:32Z; 2009-02-26T18:41Z; },{123; 130; 130; },,,,,8889797,,,5:8889798-8889798,5:8889910-8889910,
rs2963341,{59176794; 59725363; },{2008-05-25T08:54Z; 2009-02-27T04:41Z; },{130; 130; },,,,,8908420,,,5:8908421-8908421,5:8908533-8908533,
rs13359910,58305675,2009-02-26T19:25Z,130,,,,,8960804,,,5:8960805-8960805,5:8960917-8960917,
rs9313264,59404578,2008-05-25T12:26Z,130,,,,,8961448,,,5:8961449-8961449,5:8961561-8961561,
rs6555588,61011575,2009-02-27T14:02Z,130,,,,,8977753,,,5:8977754-8977754,5:8977866-8977866,
rs6861526,56708821,2008-05-23T09:59Z,130,PDZD2,PDZ domain containing 2,plus,intron_variant,31992465,,672,5:31992466-31992466,5:31992572-31992572,
rs6897932,57894527,2008-05-24T07:44Z,130,IL7R,interleukin 7 receptor,plus,coding_sequence_variant,35874472,,562,5:35874473-35874473,5:35874575-35874575,
rs4301182,58240896,2009-02-27T11:23Z,130,C5orf67,chromosome 5 putative open reading frame 67,minus,intron_variant,56561847,,765,5:56561848-56561848,5:55857675-55857675,
rs7709237,58957139,2008-05-25T05:35Z,130,LOC105379082,uncharacterized LOC105379082,minus,intron_variant,92606990,,,5:92606991-92606991,5:91942698-91942698,
rs1105769,{4079449; 52800838; 56879195; },{2004-10-8T08:33Z; 2007-09-21T15:47Z; 2008-05-23T12:26Z; },{123; 128; 130; },TNFAIP8,TNF alpha induced protein 8,plus,3_prime_UTR_variant,119395371,,795,5:119395372-119395372,5:118731067-118731067,
rs11949767,59036488,2009-02-27T11:14Z,130,MXD3,MAX dimerization protein 3,minus,upstream_transcript_variant,177313242,,2279,5:177313243-177313243,5:176740244-176740244,
rs6885410,60763807,2008-05-26T09:20Z,130,MXD3,MAX dimerization protein 3,minus,,177313994,,2279,5:177313995-177313995,5:176740996-176740996,
rs1427658,{17172145; 58863064; 59703940; },{2004-10-8T05:05Z; 2008-05-25T03:57Z; 2009-02-27T02:31Z; },{123; 130; 130; },,,,,42969593,,,7:42969594-42969594,7:43009193-43009193,
rs1509913,58547040,2009-02-26T14:49Z,130,,,,,81244905,,,7:81244906-81244906,7:80874222-80874222,
rs2880602,{17166913; 56626333; 56984386; 57811148; 386576190; },{2004-10-8T07:18Z; 2008-05-23T15:06Z; 2008-05-23T15:06Z; 2009-02-26T14:44Z; 2014-08-21T16:14Z; },{123; 130; 130; 130; 142; },,,,,133135266,,,7:133135267-133135267,7:132820026-132820026,
rs6942866,{10344214; 56985982; 61241002; },{2004-02-27T11:27Z; 2009-02-27T15:22Z; 2008-05-26T21:09Z; },{120; 130; 130; },,,,,133185075,,,7:133185076-133185076,7:132869834-132869834,
rs4389875,{10375916; 57512175; 57553175; },{2004-02-27T12:30Z; 2008-05-24T01:33Z; 2009-02-26T17:14Z; },{120; 130; 130; },,,,,133188318,,,7:133188319-133188319,7:132873077-132873077,
rs4738350,57712356,2009-02-27T10:47Z,130,,,,,73403832,,,8:73403833-73403833,8:74316068-74316068,
rs2922350,{56433239; 61502884; },{2008-05-27T03:49Z; 2008-05-27T03:48Z; },{130; 130; },,,,,135973774,,,8:135973775-135973775,8:136986018-136986018,
rs1868368,{17613596; 56488848; 57473235; },{2004-10-8T04:22Z; 2008-05-24T00:46Z; 2008-05-24T00:46Z; },{123; 130; 130; },LOC107986978,uncharacterized LOC107986978,minus,intron_variant,136001203,,,8:136001204-136001204,8:137013447-137013447,
rs10975130,59047980,2009-02-27T03:06Z,130,KANK1,KN motif and ankyrin repeat domains 1,plus,intron_variant,557339,,5581,9:557340-557340,9:557340-557340,
rs2804262,59368804,2008-05-25T11:49Z,130,KANK1,KN motif and ankyrin repeat domains 1,plus,intron_variant,559713,,5581,9:559714-559714,9:559714-559714,
rs10975200,{59905566; 60530244; },{2009-02-27T12:02Z; 2008-05-26T05:49Z; },{130; 130; },KANK1,KN motif and ankyrin repeat domains 1,plus,intron_variant,571084,,5581,9:571085-571085,9:571085-571085,
rs10815070,{57326300; 59514364; },{2009-02-27T06:48Z; 2008-05-25T14:07Z; },{130; 130; },,,,,4760537,,,9:4760538-4760538,9:4760538-4760538,
rs2047995,{17197850; 59332851; 386554717; },{2004-10-8T07:34Z; 2008-05-25T11:17Z; 2014-08-21T16:14Z; },{123; 130; 142; },,,,,78555033,,,9:78555034-78555034,9:81169950-81169950,
rs10984447,{56533565; 58298599; },{2008-05-25T02:57Z; 2009-02-27T01:52Z; },{130; 130; },BRINP1,BMP/retinoic acid inducible neural specific 1,minus,intron_variant,119222274,,572,9:119222275-119222275,9:121984553-121984553,
rs791587,{9423814; 17323214; 57005310; },{2008-05-23T15:19Z; 2004-10-8T08:42Z; 2008-05-23T15:19Z; },{130; 123; 130; },IL2RA,interleukin 2 receptor subunit alpha,minus,intron_variant,6046735,,3218,10:6046736-6046736,10:6088699-6088699,
rs2104286,{56454393; 57657975; },{2008-05-24T10:36Z; 2009-02-26T21:14Z; },{130; 130; },IL2RA,interleukin 2 receptor subunit alpha,minus,intron_variant,6057081,,3218,10:6057082-6057082,10:6099045-6099045,
rs12722489,57901756,2009-02-27T05:26Z,130,IL2RA,interleukin 2 receptor subunit alpha,minus,intron_variant,6060048,,3218,10:6060049-6060049,10:6102012-6102012,
rs10823717,{17628273; 61085005; },{2004-10-8T05:44Z; 2009-02-27T13:14Z; },{123; 130; },UNC5B,unc-5 netrin receptor B,plus,intron_variant,71286419,,6841,10:71286420-71286420,10:73046177-73046177,
rs7068990,{56510241; 58389570; },{2008-05-24T17:59Z; 2008-05-24T17:59Z; },{130; 130; },LOC105378515,uncharacterized LOC105378515,plus,genic_downstream_transcript_variant,120329399,,,10:120329400-120329400,10:122088912-122088912,
rs1620013,58274489,2009-02-27T14:14Z,130,,,,,71378163,,,11:71378164-71378164,11:71089210-71089210,
rs486394,61258025,2009-02-26T17:25Z,130,LINC02702,long intergenic non-protein coding RNA 2702,plus,intron_variant,116655604,,583,11:116655605-116655605,11:116526322-116526322,
rs4938780,61698414,2009-02-27T17:11Z,130,,,,,120106096,,,11:120106097-120106097,11:119976805-119976805,
rs6589804,{56447015; 56962894; },{2008-05-23T14:42Z; 2008-05-23T14:42Z; },{130; 130; },POU2F3,POU class 2 homeobox 3,plus,intron_variant,120290931,,2903,11:120290932-120290932,11:120161641-120161641,
rs4142654,{56569225; 61333733; },{2008-05-24T18:54Z; 2009-02-26T23:27Z; },{130; 130; },POU2F3,POU class 2 homeobox 3,plus,intron_variant,120296347,,2903,11:120296348-120296348,11:120167057-120167057,
rs10771901,{60035586; 111166540; },{2009-02-26T21:24Z; 2014-08-21T16:14Z; },{130; 142; },,,,,9583089,,,12:9583090-9583090,12:9735686-9735686,
rs4763655,{17806373; 56436432; 60517754; },{2004-10-8T05:41Z; 2008-05-26T05:48Z; 2008-05-26T05:48Z; },{123; 130; 130; },KLRB1,killer cell lectin like receptor B1,minus,intron_variant,9602981,,1478,12:9602982-9602982,12:9755578-9755578,
rs11053720,61182491,2009-02-26T15:39Z,130,KLRD1,killer cell lectin like receptor D1,plus,genic_upstream_transcript_variant,10265805,,749,12:10265806-10265806,12:10418405-10418405,
rs4764422,{56540078; 58506217; 59470562; },{2008-05-27T11:06Z; 2009-02-27T06:32Z; 2008-05-25T13:35Z; },{130; 130; 130; },,,,,10354778,,,12:10354779-10354779,12:10507378-10507378,
rs4767621,{59303255; 74312232; },{2008-05-25T10:56Z; 2009-12-2T15:53Z; },{130; 131; },KSR2,kinase suppressor of ras 2,minus,intron_variant,117790635,,17775,12:117790636-117790636,12:118228441-118228441,
rs3899870,58605265,2009-02-26T17:56Z,130,HS6ST3,heparan sulfate 6-O-sulfotransferase 3,plus,intron_variant,96553463,,8536,13:96553464-96553464,13:97205718-97205718,
rs3899871,{56488392; 58340362; },{2008-05-23T19:07Z; 2009-02-26T15:41Z; },{130; 130; },HS6ST3,heparan sulfate 6-O-sulfotransferase 3,plus,intron_variant,96553575,,8536,13:96553576-96553576,13:97205830-97205830,
rs7334107,{56595740; 57952918; 60959710; },{2008-05-26T13:24Z; 2009-02-27T14:01Z; 2008-05-26T13:24Z; },{130; 130; 130; },HS6ST3,heparan sulfate 6-O-sulfotransferase 3,plus,intron_variant,96553959,,8536,13:96553960-96553960,13:97206214-97206214,
rs17841157,57394397,2009-02-27T16:56Z,130,HDGFL3,HDGF like 3,minus,intron_variant,83183867,,3397,15:83183868-83183868,15:83852620-83852620,
rs6498169,{17684966; 56486251; 58531436; 59820793; },{2004-10-8T07:29Z; 2008-05-25T18:28Z; 2009-02-27T08:36Z; 2008-05-25T18:28Z; },{123; 130; 130; 130; },CLEC16A,C-type lectin domain containing 16A,plus,genic_downstream_transcript_variant,11155471,,6827,16:11155472-11155472,16:11249329-11249329,
rs12232421,57985212,2009-02-27T16:22Z,130,CDH11,cadherin 11,minus,intron_variant,65103190,,6874,16:65103191-65103191,16:65137094-65137094,
rs10500510,{56646290; 59145362; },{2008-05-25T08:28Z; 2008-05-25T08:28Z; },{130; 130; },,,,,65189132,,,16:65189133-65189133,16:65223036-65223036,
rs4783708,{17774091; 56551065; 57676358; 74248502; },{2004-10-8T07:48Z; 2008-05-24T07:22Z; 2009-02-26T19:27Z; 2009-12-2T15:53Z; },{123; 130; 130; 131; },CYB5B,cytochrome b5 type B,plus,intron_variant,69461277,,1297,16:69461278-69461278,16:69495181-69495181,
rs8081928,{61224883; 61665555; },{2009-02-27T17:34Z; 2008-05-27T07:08Z; },{130; 130; },TTYH2,tweety family member 2,plus,intron_variant,74252807,,3433,17:74252808-74252808,17:72248947-72248947,
rs4797328,{59544147; 60769867; },{2008-05-25T14:37Z; 2009-02-27T07:09Z; },{130; 130; },,,,,894963,,,18:894964-894964,18:894965-894965,
rs16939895,{57189831; 58763073; },{2009-02-27T01:59Z; 2008-05-25T02:37Z; },{130; 130; },PTPN2,protein tyrosine phosphatase non-receptor type 2,minus,intron_variant,12821903,,2264,18:12821904-12821904,18:12821903-12821903,
rs7234029,{61050173; 61683113; },{2008-05-26T16:18Z; 2009-02-27T14:28Z; },{130; 130; },PTPN2,protein tyrosine phosphatase non-receptor type 2,minus,intron_variant,12877060,,2264,18:12877061-12877061,18:12877060-12877060,
rs454453,57325878,2009-02-27T07:11Z,130,,,,,6645683,,,19:6645684-6645684,19:6645695-6645695,
rs390821,57314500,2009-02-27T09:50Z,130,,,,,6645747,,,19:6645748-6645748,19:6645759-6645759,
rs346172,{512091; 16979318; 56995075; 74258442; 386582737; },{2000-10-23T16:41Z; 2004-10-8T09:02Z; 2009-02-25T22:59Z; 2009-12-2T15:53Z; 2014-08-21T16:14Z; },{87; 123; 130; 131; 142; },YJU2B,YJU2 splicing factor homolog B,plus,intron_variant,13732418,,995,19:13732419-13732419,19:13843233-13843233,
rs747996,{59479078; 60551681; },{2008-05-25T13:37Z; 2009-02-27T06:36Z; },{130; 130; },PAK5,p21 (RAC1) activated kinase 5,minus,intron_variant,9648173,,4613,20:9648174-9648174,20:9628822-9628822,
rs17408919,{59057469; 111199450; },{2008-05-25T07:22Z; 2014-08-21T16:14Z; },{130; 142; },PAK5,p21 (RAC1) activated kinase 5,minus,intron_variant,9663557,,4613,20:9663558-9663558,20:9644206-9644206,
rs6018946,{58671784; 61669163; },{2008-05-24T23:57Z; 2009-02-27T00:56Z; },{130; 130; },,,,,37502682,,,20:37502683-37502683,20:36131085-36131085,
rs2425764,{56605591; 61718916; },{2008-05-23T10:17Z; 2009-02-26T03:18Z; },{130; 130; },,,,,46171805,,,20:46171806-46171806,20:44800445-44800445,
rs17000271,{56516333; 56988221; },{2008-05-26T12:12Z; 2009-02-27T13:58Z; },{130; 130; },NHIP,uncharacterized NHIP,minus,non_coding_transcript_variant,49050568,,3593,22:49050569-49050569,22:49446381-49446381,
rs5926910,59781820,2009-02-27T01:27Z,130,MAGEB10,MAGE family member B10,plus,intron_variant,27812273,,1953,X:27812274-27812274,X:27830391-27830391,
rs1368769,59237909,2008-05-25T09:47Z,130,MAGEB10,MAGE family member B10,plus,coding_sequence_variant,27821454,,1953,X:27821455-27821455,X:27839572-27839572,
